beta,alpha,tvd
1.0,1.4236953606213478e-5,0.009750571683653269
1.0,1.52587890625e-5,0.010404971615445922
1.0,1.635396518762654e-5,0.011070955440001137
1.0,1.752774589534049e-5,0.012056938854179515
1.0,1.8785772908705398e-5,0.012910039402413134
1.0,2.013409287678367e-5,0.013916008064613756
1.0,2.1579186437577746e-5,0.014889728188142763
1.0,2.312799936691891e-5,0.016215432862703202
1.0,2.478797596301987e-5,0.017370031802182287
1.0,2.656709482715224e-5,0.018644974931479666
1.0,2.847390721242699e-5,0.019720755453586453
1.0,3.0517578125e-5,0.02062687762727739
1.0,3.270793037525308e-5,0.021237628595447974
1.0,3.505549179068098e-5,0.021748048812848753
1.0,3.7571545817410796e-5,0.02243595404805501
1.0,4.026818575356734e-5,0.023421816655700207
1.0,4.315837287515549e-5,0.02438314900737707
1.0,4.625599873383782e-5,0.025894060841261488
1.0,4.957595192603974e-5,0.027471323775901554
1.0,5.313418965430448e-5,0.029390011932160186
1.0,5.694781442485398e-5,0.030982231093519705
1.0,6.103515625e-5,0.03327923640793407
1.0,6.541586075050616e-5,0.035662675047393844
1.0,7.011098358136196e-5,0.038770232110901304
1.0,7.514309163482159e-5,0.042226629557825114
1.0,8.053637150713468e-5,0.046787372106383895
